;Dia 31;Dia 1
Begues;343;366
Castelldefels;560;614
Cervelló;514;342
Corbera de Llobregat;580;424
Cornellà  de Llobregat;786;727
El Papiol;937;860
El Prat de Llobregat;747;731
Esplugues de Llobregat;1017;972
Gavà;497;518
La Palma de Cervelló;223;331
Molins de Rei;581;616
Pallejà;582;527
Sant Andreu de la Barca;871;823
Sant Boi de Llobregat;992;921
Sant Climent de Llobregat;1422;1191
Sant Feliu de Llobregat;766;698
Sant Joan DespÃí;915;825
Sant Just Desvern;660;575
Sant Vicenç dels Horts;452;385
Santa Coloma de Cervelló;434;332
Torrelles de Llobregat;770;1082
Viladecans;976;914
Badalona;1082;1022
Barcelona;782;803
L'Hospitalet de Llobregat;996;996
Sant Adrià del Besòs;1078;1167
Santa Coloma de Gramenet;1031;1052
Montgat;1279;1172
Tiana;969;958
Badia del Vallès;483;619
Barberà del Vallès;649;669
Castellbisbal;789;867
Cerdanyola del Vallès;920;890
Montcada i Reixac;624;616
Ripollet;678;614
Sant Cugat del Vallès;748;739
;770;749
